# Sensor 01GENA001DP135RN - vertical direction.
# Created: Fri Oct 18 14:04:20 2019. Sampling Rate: 4000.0 Hz. No. of Samples: 20000
# Time [ns]; Acceleration [m/s2]
2.700000000000000000e+07;-1.253765112966971065e-04
2.725000000000000000e+07;-9.468122444261517913e-05
2.750000000000000000e+07;-2.743409156550229673e-06
2.775000000000000000e+07;-3.632737600614185101e-05
2.800000000000000000e+07;-8.732879601688436737e-05
2.825000000000000000e+07;-5.718389305936530089e-05
2.850000000000000000e+07;-1.102548756533766570e-05
2.875000000000000000e+07;-1.182831102801660405e-05
2.900000000000000000e+07;1.499146954288869533e-05
2.925000000000000000e+07;1.400487937771129803e-04
2.950000000000000373e+07;2.414431331558931438e-04
2.975000000000000373e+07;1.809930398435344843e-04
3.000000000000000000e+07;3.092709923014192616e-06
3.025000000000000000e+07;-1.177355416239971275e-04
3.050000000000000000e+07;-1.079990675826886389e-04
3.075000000000000000e+07;-1.027962588833578625e-04
3.100000000000000000e+07;-1.457981375500822885e-04
3.125000000000000000e+07;-1.417755837155248804e-04
3.150000000000000000e+07;-1.257459594744224894e-04
3.175000000000000000e+07;-8.675578791057545294e-05
3.200000000000000000e+07;9.278084917830103017e-05
3.225000000000000000e+07;2.572512923058793786e-04
3.250000000000000000e+07;1.614986627270346997e-04
3.275000000000000000e+07;8.663956512249315075e-08
3.300000000000000000e+07;9.292023735898045033e-05
3.325000000000000000e+07;2.263318014982126870e-04
3.350000000000000373e+07;2.960122264093522897e-05
3.375000000000000000e+07;-2.608356811571402463e-04
3.400000000000000000e+07;-2.193078594234226114e-04
3.425000000000000000e+07;4.018259450934979913e-05
3.450000000000000000e+07;1.890119579141674722e-04
3.475000000000000000e+07;1.208899836428911390e-04
3.500000000000000000e+07;-6.599898956268102502e-05
3.525000000000000000e+07;-1.337634737698689441e-04
3.550000000000000745e+07;-7.215658180324989313e-06
3.575000000000000745e+07;1.123942558471919921e-04
3.600000000000000745e+07;5.601998385290454829e-05
3.625000000000000000e+07;-1.706163232493766821e-04
3.650000000000000000e+07;-3.621621661105001036e-04
3.675000000000000000e+07;-2.345160162611517835e-04
3.700000000000000000e+07;1.521885781647968412e-04
3.725000000000000000e+07;2.977006679065044353e-04
3.750000000000000000e+07;1.597263541574813042e-05
3.775000000000000000e+07;-1.045864401591486899e-04
3.800000000000000000e+07;2.332709513399434486e-04
3.825000000000000000e+07;4.165086990318863074e-04
3.850000000000000000e+07;9.826286363502481148e-05
3.875000000000000000e+07;-2.704813193729768369e-04
3.900000000000000000e+07;-2.988190242828385706e-04
3.925000000000000000e+07;-1.028258744685043685e-04
3.950000000000000000e+07;3.009733329257021229e-05
3.975000000000000000e+07;-4.304487747765535922e-05
4.000000000000000000e+07;-2.559113661638018041e-04
4.025000000000000000e+07;-2.927064049764663690e-04
4.050000000000000000e+07;4.505281331639952728e-05
4.075000000000000000e+07;3.916546433332371204e-04
4.100000000000000000e+07;3.199081382085089149e-04
4.125000000000000000e+07;-4.138067701238805894e-05
4.150000000000000000e+07;-2.257781996705516777e-04
4.175000000000000000e+07;-3.537284068279618083e-06
4.200000000000000000e+07;2.944056272465900336e-04
4.225000000000000000e+07;1.996401766532388369e-04
4.250000000000000000e+07;-1.807408964270017010e-04
4.275000000000000000e+07;-2.755110151509668919e-04
4.300000000000000000e+07;5.636143535139486523e-05
4.325000000000000000e+07;2.785524113316847493e-04
4.350000000000000745e+07;9.414181082896250338e-05
4.375000000000000745e+07;-1.688849110597679965e-04
4.400000000000000000e+07;-1.930108696926924523e-04
4.425000000000000000e+07;7.877276107121379602e-06
4.450000000000000000e+07;1.894153507861236067e-04
4.475000000000000000e+07;8.226921956355428981e-05
4.500000000000000000e+07;-2.250423943644724520e-04
4.525000000000000000e+07;-2.854868461653997896e-04
4.550000000000000000e+07;4.801251721644748033e-05
4.575000000000000000e+07;3.269497344410854660e-04
4.600000000000000000e+07;1.837193917197887613e-04
4.625000000000000000e+07;-1.435780376011682455e-04
4.650000000000000000e+07;-1.905733658474239765e-04
4.675000000000000000e+07;9.972874306448310420e-05
4.700000000000000000e+07;3.194087421234566835e-04
4.725000000000000000e+07;1.701568221671308462e-04
4.750000000000000000e+07;-1.602884920129709137e-04
4.775000000000000000e+07;-2.554640237329587464e-04
4.800000000000000000e+07;-3.464190298600564624e-05
4.825000000000000000e+07;1.229019764105685494e-04
4.850000000000000000e+07;-1.927477955466082952e-05
4.875000000000000000e+07;-2.385966076609203246e-04
4.900000000000000000e+07;-2.281285895745780367e-04
4.925000000000000000e+07;-4.202425758755230076e-06
4.950000000000000000e+07;1.486152575854702597e-04
4.975000000000000000e+07;1.102695186134001332e-04
5.000000000000000000e+07;-7.251373987177180994e-06
5.025000000000000000e+07;-3.684039727522720056e-05
5.050000000000000000e+07;1.230093046984678329e-04
5.075000000000000000e+07;2.547720713847796041e-04
5.100000000000000000e+07;9.350784789750762839e-05
5.125000000000000745e+07;-1.911619143253173302e-04
5.150000000000000745e+07;-2.331626662710379900e-04
5.175000000000000745e+07;8.026485790719881924e-06
5.200000000000000745e+07;1.611289241174511475e-04
5.225000000000000000e+07;2.463219444850384867e-05
5.250000000000000000e+07;-1.242350516676587232e-04
5.275000000000000000e+07;-5.272008225006681402e-05
5.300000000000000000e+07;1.241208190729961114e-04
5.325000000000000000e+07;1.638136390798278609e-04
5.350000000000000000e+07;2.729242543114390859e-05
5.375000000000000000e+07;-8.498046865507841163e-05
5.400000000000000000e+07;-1.067888614670092404e-04
5.425000000000000000e+07;-1.265077731313224310e-04
5.450000000000000000e+07;-1.157576080566003607e-04
5.475000000000000000e+07;-1.764736675448897021e-05
5.500000000000000000e+07;7.026537911067032543e-05
5.525000000000000000e+07;6.934995626937083416e-05
5.550000000000000000e+07;1.221135133731121158e-04
5.575000000000000000e+07;2.396570661343911215e-04
5.600000000000000000e+07;1.748966012321603446e-04
5.625000000000000000e+07;-1.260652459204343561e-05
5.650000000000000000e+07;-3.445333051844497358e-05
5.675000000000000000e+07;7.465903451433867093e-06
5.700000000000000000e+07;-1.285929075156159237e-04
5.725000000000000000e+07;-2.813764625013618183e-04
5.750000000000000000e+07;-2.210152625079216473e-04
5.775000000000000000e+07;-7.661610630188751239e-05
5.800000000000000000e+07;-2.099570220426513778e-05
5.825000000000000000e+07;4.768444203962541449e-06
5.850000000000000000e+07;9.975553936386472443e-05
5.875000000000000000e+07;2.043876832281236739e-04
5.900000000000000745e+07;1.577921303842352244e-04
